BIOBASE accession	HGNC	Illumina	
GN000004521	TNKS	0002350100;ILMN_1657891	
GN000199102	EEF1DP3	0005220070;ILMN_1677910	
GN000079009	ADGRG7	0004610156;ILMN_2125395;ILMN_1808078	
GN000062480	FAM45B	ILMN_1797116	
GN000003477	PTGER1	0000430154;ILMN_1744929	
GN000003567	BNIP2	0001980072;ILMN_1770803	
GN000002799	HOXB2	0003360619;ILMN_1810274	
GN000002801	IAPP	0002940435;ILMN_1679527	
GN000063445	CAMK1D	0006400594;0001990673;0001410161;ILMN_1751561;ILMN_1795561;ILMN_1705477;ILMN_2280721;ILMN_1906187	
GN000158121	RBP3	0003800577;ILMN_1705495	
GN000062209	LRRC36	0000510398;ILMN_1774389	
GN000159569	AGO1	0103170270;0006510035;0100460671;ILMN_1671326	
GN000162446	MAK16	0002570671;ILMN_1777139	
GN000008127	CHP1	0004120592;ILMN_1779401	
GN000002270	SECISBP2	0005720672;ILMN_1736481	
GN000157462	CDR1	0005360673;ILMN_1655690;ILMN_1791114	
GN000160162	TRMT12	0000840082;ILMN_1809944	
GN000080224	PANX3	0002350215;ILMN_1811316	
GN000158564	SCEL	ILMN_1710325	
GN000163144	TMEM44	0003130253;ILMN_1688848;ILMN_2388070	
GN000159034	ZNF234	0001740487;ILMN_2103397;ILMN_1740197	
GN000005606	TNIP1	0006400685;ILMN_1703650	
GN000303576	MIR1304	ILMN_3244348;ILMN_3237236	
GN000156466	PRRX2	0002320451;ILMN_1790338	
GN000158476	HIST1H2BM	0005390446;ILMN_1736820	
GN000160012	NDUFB11	ILMN_1749709	
GN000091805	TSR3	ILMN_1713884	
GN000061862	LY6K	0006400368;ILMN_1738646	
GN000008587	AHCYL1	0006760066;ILMN_1770412	
GN000005230	IL11RA	0006660079;0001170441;0002060075;0000510170;0003610072;ILMN_1653459;ILMN_1657475;ILMN_1664912;ILMN_1720024	
GN000058860	P2RY10	0005420519;0006650039;ILMN_1784774;ILMN_2321578	
GN000160906	GPBP1	0002680129;ILMN_2233493;ILMN_1711792	
GN000158693	EEF1E1	0002630019;ILMN_1725105;ILMN_2158587	
GN000124439	GOLGA7B	0106840168;0001940086;ILMN_3247945;ILMN_1717887;ILMN_3252969	
GN000062303	BATF3	0007050333;ILMN_1763207	
GN000062233	RSAD1	0001980025;ILMN_1809963	
GN000159964	GPR173	0005290368;ILMN_1775336;ILMN_1873852;ILMN_1774813;ILMN_1676447;ILMN_2260813;ILMN_2298028	
GN000002144	KIAA1143	ILMN_1752273;ILMN_2043360;ILMN_1681092	
GN000160761	SAV1	0102030672;0000520014;ILMN_2050654;ILMN_1789552	
GN000052020	HFE2	0006420706;ILMN_2367694;ILMN_1760985;ILMN_1783008;ILMN_2324584	
GN000052032	HCN4	0006100008;ILMN_1790810;ILMN_1680474	
GN000156286	TRIM37	0003870164;ILMN_1711327;ILMN_1704383;ILMN_1687703;ILMN_1671513	
GN000064923	LHPP	0000780132;ILMN_1752199	
GN000003747	PI4KA	0005130131;0005130273;ILMN_1778479;ILMN_3232529;ILMN_1655177;ILMN_1734434;ILMN_3229812;ILMN_1790875	
GN000156410	SPIDR	0106380487;0004540736;ILMN_3263533;ILMN_1887174	
GN000158318	TSPYL1	0100630519;ILMN_1779014	
GN000043273	CACNG3	0004670128;ILMN_1768758	
GN000002846	IFNA2	0003870204;ILMN_1698186	
GN000050126	ITIH2	0002350088;ILMN_1808494	
GN000160048	SLC35F2	0006900075;ILMN_2075189;ILMN_1790577	
GN000156461	NUP205	0006940731;ILMN_1673962	
GN000051401	GPR65	0000610113;ILMN_2232121;ILMN_1734740	
GN000005385	NTRK3	0001940014;0001940750;ILMN_1913055;ILMN_1837429;ILMN_1872446;ILMN_1734893;ILMN_1687967	
GN000198902	TRGV9	0000730168;0104670121;ILMN_1762957	
GN000163235	CIART	0001570154;ILMN_1793543	
GN000004296	TFE3	0001450487;ILMN_1764826	
GN000001217	PIGB	0002450056;ILMN_1733311	
GN000059298	PLA2G2E	0004010520;ILMN_1710590	
GN000010152	GLTSCR2	ILMN_1703565	
GN000160076	GIPC2	0000380064;ILMN_1672545	
GN000164987	RSBN1L	0005130520;ILMN_1712027	
GN000079233	FATE1	0002340168;ILMN_1806914	
GN000078938	GJA10	0002030440;ILMN_1767177;ILMN_2200210	
GN000009280	KIF23	0003520017;0004070706;ILMN_1716553	
GN000159009	IGF2BP2	0102570390;0001780301;ILMN_1702447	
GN000000997	UQCRH	ILMN_2232936	
GN000051107	UCN	0004540167;ILMN_2084073	
GN000062602	NMUR2	0000070364;ILMN_1675009	
GN000078998	RAB7B	0002570100;ILMN_1673911;ILMN_1771688	
GN000160271	LRRC59	0004780402;ILMN_1786259	
GN000002010	BRF2	0002360450;ILMN_1665554	
GN000001809	ABHD17B	0002640402;ILMN_1668336;ILMN_1785661;ILMN_1660440;ILMN_2374362	
GN000007040	SIAH2	0003800441;ILMN_1801313	
GN000158689	MAGED1	0002630129;ILMN_2306189;ILMN_2246382;ILMN_1775522;ILMN_1762792	
GN000001651	AAR2	0006550400;ILMN_1721225	
GN000156430	HNRNPA0	0005900154;ILMN_1753279	
GN000050863	SEMA3F	0002650670;ILMN_1761540	
GN000058922	MAGEH1	0005570176;ILMN_2078226;ILMN_1659659	
GN000092070	KLHL17	ILMN_1749751;ILMN_1705602	
GN000003338	GRIK5	0001660450;ILMN_1679595	
GN000157696	GNGT2	0003170121;ILMN_1671237	
GN000160663	SHROOM3	0000510097;ILMN_1791392;ILMN_3245062;ILMN_1685540	
GN000062502	CEMIP	0004570500;ILMN_1813704	
GN000010581	MUC5B	0005420309;ILMN_1693983	
GN000001683	INTS6	0000430280;ILMN_1916587;ILMN_2312304;ILMN_1655557	
GN000005523	SIX4	0006520575;ILMN_1743402	
GN000092318	C11orf88	0001990167;0106620280;ILMN_1766038	
GN000003322	MMP11	0007040671;ILMN_1749226;ILMN_1655915	
GN000080776	RBBP8NL	ILMN_1682863	
GN000162362	SCRT1	0001170377;0002970270;ILMN_3237353;ILMN_1741617;ILMN_1752841;ILMN_1803333	
GN000061503	STK26	0005390050;ILMN_2328776;ILMN_1676159	
GN000052160	CLEC4M	0000670142;ILMN_2322131	
GN000058859	RPS6KA6	0004540292;ILMN_1807968;ILMN_1843157;ILMN_1848391	
GN000049364	BGN	0002030280;ILMN_1709139;ILMN_2206746	
GN000163961	CYB561A3	0005050450;ILMN_1801374;ILMN_2129505	
GN000052280	RASL10A	0000730338;ILMN_1747673;ILMN_1738266;ILMN_1688899;ILMN_1761613	
GN000062410	HHAT	0004570731;ILMN_1693853	
GN000000918	SRSF5	0000520458;ILMN_1761996;ILMN_2378868	
GN000000488	CREBL2	0006370180;ILMN_1854730;ILMN_1660223	
GN000007406	RPL10	0001990008;ILMN_2084182	
GN000061769	MIER2	0004200014;0003610019;ILMN_1766159;ILMN_1699058;ILMN_1694878	
GN000164325	PRRT3	0002470601;ILMN_1784985	
GN000164750	PIGW	0006760446;ILMN_1743397;ILMN_2178186	
GN000613543	NPIPB5	0006940048;ILMN_1656868;ILMN_3246766;ILMN_1787746;ILMN_3246448;ILMN_1669657;ILMN_1749836;ILMN_1778929;ILMN_1801940;ILMN_1652982;ILMN_1725881	
GN000078900	OR2B2	0005910021;ILMN_1853224;ILMN_1730728	
GN000108532	IYD	0005080095;0101400273;ILMN_1754491	
GN000005506	AIMP1	0003940253;ILMN_1715351	
GN000078913	LCE3D	0004560600;ILMN_1718395	
GN000091930	AQP12B	0005080315;ILMN_3246595;ILMN_1755714	
GN000124509	LDLRAD1	0004480670;ILMN_1731343	
GN000159608	ZNF330	0000380041;ILMN_1710873;ILMN_2154455	
GN000062225	SPTLC3	0005690164;0102970242;ILMN_1867664;ILMN_2233454;ILMN_1893679	
GN000061885	RNF111	0000460193;ILMN_1760209;ILMN_1767454	
GN000078225	CAPNS2	0001850520;ILMN_1699809	
GN000162021	TM2D3	0002230450;0002510725;ILMN_1842441;ILMN_1697472;ILMN_1761120	
GN000051122	CLRN1	0002340441;0001570736;0003360139;ILMN_1741705;ILMN_1677781;ILMN_1698745;ILMN_1707630	
GN000160332	IARS2	0000450180;ILMN_1671207	
GN000062389	RADIL	0005860435;ILMN_1800911;ILMN_2098297	
GN000162986	ROMO1	ILMN_1801633	
GN000080183	CREB3L1	0003710397;ILMN_1749032	
GN000077676	CECR2	0005130333;0104280592;0102060315;ILMN_1671171	
GN000158223	SLC6A6	0102570184;ILMN_1673586	
GN000057461	PKP3	0006620128;ILMN_1726112;ILMN_1796141;ILMN_1753457	
GN000065210	INF2	0001230465;0004760121;0001240647;0100050671;ILMN_1727248;ILMN_1656218;ILMN_2393450;ILMN_1729596	
GN000049397	CA3	ILMN_1740996;ILMN_2176450	
GN000162312	TSSK6	0000730484;ILMN_1759342;ILMN_1791637	
GN000003077	POU4F3	0006620010;ILMN_1796969	
GN000159899	C9orf78	0001990193;ILMN_1697166	
GN000162973	TTLL9	ILMN_1757411	
GN000002593	CYC1	0005290161;ILMN_1815115	
GN000302837	MIR587	ILMN_3310471	
GN000010720	GP9	0004010114;ILMN_1743290	
GN000002291	DCAF10	0002230176;ILMN_3235917;ILMN_1714847	
GN000162334	USP44	0002230647;ILMN_1807212;ILMN_2364819	
GN000061418	NAT8B	0002340551;ILMN_1691264	
GN000090482	GPR141	0004810593;ILMN_1656818;ILMN_2092333	
GN000007131	RNF41	0005910458;0005910092;ILMN_1700345;ILMN_1808095	
GN000007660	FGF14	0000520019;0002350427;0005290332;ILMN_1894741;ILMN_1751495;ILMN_1732976	
GN000082513	TGIF2LY	0006020746;ILMN_3241861	
GN000049361	ROR2	0104610605;0005550301;ILMN_1694426	
GN000043304	SMG9	ILMN_1737005	
GN000160585	RASD2	0004590435;ILMN_1653464;ILMN_2170209	
GN000159153	PTPRT	0000130458;ILMN_1743175;ILMN_1698885;ILMN_2404256	
GN000116549	LRRC55	0003780403;ILMN_1796950	
GN000049933	GNG4	0004060538;ILMN_1804357	
GN000087846	RTP5	0001340139;ILMN_1717029	
GN000006583	POU2F3	0000510035;ILMN_1773613	
GN000199173	UBE2DNL	0000050048;ILMN_1683520;ILMN_3239223	
GN000159798	COMMD2	ILMN_1877975;ILMN_1683305	
GN000001141	STK19	0006110041;ILMN_1659782;ILMN_2402363	
GN000157418	CAPN5	0006400121;ILMN_1737089	
GN000540729	PRAMEF15	0001090593;ILMN_3305675;ILMN_3225858;ILMN_2206592	
GN000117380	CISD2	ILMN_1796397	
GN000001401	DRAP1	0001770403;ILMN_2112301;ILMN_1733048	
GN000616305	ZSCAN30	0100770332;0103450164;ILMN_3245223	
GN000164926	ELMSAN1	0000360333;ILMN_2412922;ILMN_1763091;ILMN_2297373;ILMN_1770850	
GN000085572	C2orf57	ILMN_1768007	
GN000157543	CTNND2	0001400068;ILMN_1716875	
GN000081989	AHNAK2	0000060471;0003360053;ILMN_3243156;ILMN_1657111;ILMN_1790688;ILMN_1750352	
GN000002286	TTPAL	0000730520;ILMN_2364131;ILMN_1744442	
GN000050333	MSI1	0002350731;ILMN_1739601	
GN000159673	GMPPA	0006420685;0006650592;ILMN_1804476;ILMN_1693878	
GN000116482	OR5M9	0000770441;ILMN_1761042;ILMN_1772190	
GN000169245	NDUFS8	0002510687;ILMN_1794132	
GN000129082	ARHGAP11B	ILMN_1661387;ILMN_1704134;ILMN_2215881;ILMN_1684875;ILMN_1691163	
GN000159455	ZNF473	0003290465;0101090400;ILMN_1740339;ILMN_2346649;ILMN_1782730	
GN000614190	CPQ	0002940450;ILMN_2058795;ILMN_1713031	
GN000116688	OR5H6	ILMN_1766438	
GN000003695	JAK3	0002760164;ILMN_1739667	
GN000062263	SLC22A15	ILMN_1730639	
GN000062240	AGPAT5	0001340242;ILMN_1662049;ILMN_1768029	
GN000124352	SAMD15	0100460195;ILMN_1740428;ILMN_3243606	
GN000129286	FMN1	0004480164;ILMN_1898796;ILMN_1659224;ILMN_3248672	
GN000003469	NTSR1	ILMN_1778831	
GN000087839	RUSC1-AS1	0103800348;0003780129;ILMN_1725906;ILMN_2114185	
GN000297082	LINC00294	ILMN_3244521	
GN000198938	SNORA65	ILMN_1787326	
GN000008856	EPHB6	0004070692;ILMN_1802646	
GN000058301	PRND	0000730022;ILMN_1684795	
GN000062002	PARP16	0006590538;ILMN_1812080	
GN000061338	FAM178B	0101780139;0001690035;ILMN_1804993	
GN000010117	LINC00313	0006860377;0000580465;0004150722;ILMN_1694182	
GN000010695	ATF7IP	0001410215;ILMN_1716435	
GN000081977	SP140L	0001980324;ILMN_1658858;ILMN_2187058	
GN000161873	ASB13	0003170594;ILMN_1654385	
GN000161847	ZC2HC1C	0003390551;ILMN_1686043;ILMN_2354269	
GN000297108	ZSCAN5B	ILMN_1717059;ILMN_3244172	
GN000001796	PLEKHA8P1	0102630484;0002320121;ILMN_1706610	
GN000001589	R3HDM1	0002350041;ILMN_2052383;ILMN_1754547	
GN000087794	MUC19	ILMN_3224939;ILMN_3224820;ILMN_3299702	
GN000076475	ADGRF1	0002510465;0003360086;ILMN_1672559;ILMN_1787932;ILMN_1772315;ILMN_1744299	
GN000159636	ZCCHC4	0001980546;ILMN_1693245	
GN000061732	FAM64A	0005700315;ILMN_1728972	
GN000001873	TDP2	0003440735;ILMN_1785821;ILMN_2183216	
GN000085400	GLIPR1L2	0001500154;ILMN_1769559	
GN000008120	ACP1	0106400685;0000510717;0002230048;ILMN_2344956;ILMN_1669633	
GN000050958	UAP1	0004810333;ILMN_1742461;ILMN_1888609	
GN000157840	LAMP2	0002690021;0000670600;0003800079;ILMN_2243687;ILMN_1673282;ILMN_2279961;ILMN_1659753;ILMN_1752351	
GN000004236	ANGPT4	0003800433;0102120494;ILMN_1758443	
GN000005188	HOXC10	0006770451;ILMN_1725899	
GN000085838	USP43	0004780056;0103610427;ILMN_2093188	
GN000079027	ZNF341	0002970088;ILMN_2043728;ILMN_1750760	
GN000085604	ZNF48	0004210020;ILMN_3244969;ILMN_1722302	
GN000061274	RNFT1	0002650427;ILMN_1688606	
GN000050360	MUC4	0003120148;0005270397;ILMN_1792039;ILMN_1858162;ILMN_2321153;ILMN_2246555;ILMN_1727314	
GN000001862	DDX41	0000870047;ILMN_1737344	
GN000058181	RAP1GAP2	0005670082;0006370497;ILMN_1732830;ILMN_1690042	
GN000085450	SAMD11	0005080446;ILMN_1709067	
GN000157814	KCNK2	0001580725;ILMN_2376953;ILMN_2277334;ILMN_1765990;ILMN_1666656	
GN000898579	CEP295NL	ILMN_1752883	
GN000002204	FN3K	ILMN_1801588	
GN000156516	MYO1B	0001170433;0004810494;ILMN_1797585;ILMN_2093027	
GN000875231	RPL7AP66	ILMN_1682873	
GN000000393	KCNIP1	0004570546;ILMN_2368856;ILMN_2289533;ILMN_1744387	
GN000081962	MTSS1L	0007100315;ILMN_1768685;ILMN_1780299;ILMN_3240173	
GN000163790	MOSPD2	0004050524;ILMN_1766094;ILMN_2043569	
GN000162380	COQ5	0004760270;ILMN_1770936;ILMN_3276933;ILMN_1905953	
GN000052265	ZNF384	0002640180;ILMN_1764891;ILMN_2347943	
GN000003347	INHBC	0004670088;ILMN_1765986;ILMN_1812536	
GN000302821	MIR572	ILMN_1678242;ILMN_1664601;ILMN_3310466	
GN000127436	KPRP	0104150008;ILMN_1780649	
GN000002578	ERBB2	0106040504;ILMN_1728761;ILMN_3268199;ILMN_1717902;ILMN_1694303;ILMN_2352131	
GN000002009	QRSL1	0006380102;ILMN_1733364	
GN000161990	CCDC15	0006520332;ILMN_1783676;ILMN_1825660;ILMN_1695075	
GN000062258	CHDH	0003440068;ILMN_1806681;ILMN_3251423;ILMN_2135321	
GN000051861	ULK2	0003850725;ILMN_1715482	
GN000090583	UNC80	0105080576;ILMN_2073520;ILMN_1740308;ILMN_1689601	
GN000076161	CHPF	0006370066;ILMN_1731353	
GN000616062	SLFN14	ILMN_1656949;ILMN_3243634	
GN000078314	MEGF10	0002030465;ILMN_2146389;ILMN_1652306	
GN000159175	B4GALT7	0005420195;ILMN_1663541	
GN000116429	OR2T10	0001240121;ILMN_1739168	
GN000303682	MIR1471	ILMN_3308627	
GN000162760	ANO10	0001990138;ILMN_1767111	
GN000111058	DUPD1	ILMN_1656225	
GN000059307	EHD2	0002360093;ILMN_1808777	
GN000051164	ZNF711	0004780309;ILMN_1699340;ILMN_1800253	
GN000002659	HLA-DRB1	ILMN_3228688	
GN000000298	BTD	0006110722;ILMN_1699728	
GN000009269	NINL	ILMN_1789094	
GN000043600	ARHGEF16	0004210411;ILMN_1669928	
GN000010060	RBFOX2	0004610706;ILMN_1697418	
GN000157411	BFSP1	0000510601;ILMN_1712608	
GN000164016	SCUBE1	0004060746;ILMN_1739714	
GN000061317	RAB9B	0003610632;ILMN_1679092	
GN000058970	SAP30BP	0006760368;ILMN_2199022;ILMN_1740354	
GN000010465	POMC	0006420112;ILMN_2403664;ILMN_1672899	
GN000077700	OR4L1	0007100504;ILMN_1722496;ILMN_1736264;ILMN_2330310	
GN000156467	TRPV6	0006220041;ILMN_2272412;ILMN_1674533;ILMN_2368188	
GN000001056	SYN3	0003170195;ILMN_1756694;ILMN_2282019	
GN000080612	VSTM2L	0006520358;ILMN_1715927	
GN000199287	RPS26P11	ILMN_2180864;ILMN_2180866;ILMN_1726252	
GN000160648	FAM135A	0105390546;ILMN_1804454;ILMN_2225608	
GN000052382	MALT1	0002690338;ILMN_2387791;ILMN_1730986	
GN000158513	TEAD2	0001660138;ILMN_1682781	
GN000050772	RHAG	0002680538;ILMN_1811410	
GN000001520	ITGA11	0000780438;0106770102;ILMN_2406084;ILMN_1651343	
GN000008574	CLIP1	0003520601;0004850324;ILMN_2404085;ILMN_1684038;ILMN_1723058	
GN000086292	HIST1H2BA	0005360100;ILMN_2108779;ILMN_1730131	
GN000000894	RPS3A	0005890685;ILMN_1657722;ILMN_1673638;ILMN_2139943;ILMN_1667288;ILMN_1733183	
GN000085924	TMEM67	ILMN_2054053	
GN000051229	RNF112	0003140484;ILMN_1744676	
GN000297190	DUSP5P1	ILMN_2051731;ILMN_1751093	
GN000229402	MIR224	ILMN_3309084	
GN000043811	PPFIA4	0007000435;ILMN_1667791;ILMN_1663096;ILMN_1673971	
GN000229530	DNAH14	0000670541;0000780441;ILMN_1720981;ILMN_1779847;ILMN_1694043;ILMN_1677805;ILMN_1652365;ILMN_3187862;ILMN_3264330	
GN000058986	ADARB2	0101050601;0004780092;ILMN_1749493	
GN000005636	VAX2	0001770093;ILMN_1760047	
GN000000755	NUP88	0004070411;ILMN_1734826	
GN000129136	EML6	0001450338;0104150242;ILMN_1651846;ILMN_3272299;ILMN_1651938;ILMN_1680888	
GN000158682	PCYT1B	0003840333;ILMN_1811597	
GN000051375	OR1D4	ILMN_3235772;ILMN_1774650;ILMN_1701776	
GN000004734	EDARADD	0001170280;0001170364;0001170411;ILMN_1761820;ILMN_1719206;ILMN_1754592	
GN000158574	SGPL1	0100520541;0006100273;ILMN_1761531	
GN000229388	MIR155	0101990300;ILMN_3248910	
GN000164838	FAM131C	0003130025;ILMN_1812321;ILMN_1761527	
GN000050893	SLC1A1	0000840358;ILMN_1658917	
GN000199398	SNORD13	ILMN_1892403	
GN000058783	SIGLEC7	0003060504;0003060348;ILMN_1681415;ILMN_2409384;ILMN_1686706	
GN000159297	FRMPD1	0002190577;ILMN_1754580	
GN000124403	LIPM	0002260670;ILMN_1808443;ILMN_3248304;ILMN_1745272	
GN000001643	MYRIP	0004540039;ILMN_1659774;ILMN_1668125;ILMN_1787154;ILMN_1763083	
GN000003340	GRIA4	0003290603;ILMN_1692094;ILMN_1863253	
GN000551721	KRTAP16-1	ILMN_3284078	
GN000163644	CERS5	0001230072;ILMN_2208495;ILMN_1787376	
GN000158675	QKI	ILMN_3184148;ILMN_1773485;ILMN_1652032;ILMN_3232048	
GN000061393	CSAD	0003130594;ILMN_2119692;ILMN_1779515	
GN000162583	CCDC183	0000780035;ILMN_1700203	
GN000199239	PRAMEF12	0007040064;ILMN_1809304	
GN000159350	FAM208A	ILMN_1661409	
GN000158193	SEPP1	0001410563;ILMN_2204826;ILMN_1785071	
GN000082085	TAS1R2	0004540079;ILMN_1697141	
GN000043978	CEP170B	0006770400;ILMN_1664960	
GN000049715	ECM2	0001980619;ILMN_2228938;ILMN_1746763	
GN000160627	RGAG1	0002680368;ILMN_1794950	
GN000000580	GGCX	0103940215;0000870494;ILMN_1758232	
GN000156570	ZKSCAN1	0002640411;ILMN_2139052;ILMN_1727603	
GN000001235	WTAP	0004850133;0006940086;0005340435;ILMN_2279339;ILMN_2260725;ILMN_1748904;ILMN_1734544;ILMN_1660248;ILMN_1657618	
GN000155563	MIR138-1	ILMN_3309924	
GN000003590	CCR3	0000060279;ILMN_1722500;ILMN_1763322	
GN000043931	FRYL	0002900164;ILMN_1798467;ILMN_1747223;ILMN_2204332	
GN000090404	KRTAP6-1	0002190064;ILMN_2112942;ILMN_1771218	
GN000002191	MRPS35	0007100131;ILMN_1734952;ILMN_2189993	
GN000129256	FBXO45	0003440520;ILMN_3241510	
GN000004667	TGFB1I1	0005050204;ILMN_1773563;ILMN_1773801;ILMN_2389876	
GN000108883	SCGB1D4	0103140075;ILMN_1802104	
GN000163249	ADAMTS15	0104230044;0001340050;ILMN_1683781	
GN000160174	FEZF2	0003450538;ILMN_1750706	
GN000082305	M1AP	0006840433;ILMN_1797972	
GN000616722	TMEM257	0000580093;ILMN_1684016	
GN000160808	GAL3ST2	0003850068;ILMN_1714478	
GN000164707	OTOP2	0000670494;ILMN_1715612	
GN000092180	FAM83H	0004610463;ILMN_1751328	
GN000199090	C9orf62	0002690161;0001400050;ILMN_1815635	
GN000002808	FTH1	ILMN_1683146	
GN000087752	ZDHHC23	0003610576;ILMN_1736901	
GN000616748	FAM157B	ILMN_3245733	
GN000004178	GATA2	0005290133;ILMN_1726196;ILMN_2102670	
GN000004255	LTB4R	0000130706;0005890524;ILMN_1747251;ILMN_1775359;ILMN_1723079	
GN000004411	ETS2	0004280619;ILMN_1720158;ILMN_1745578	
GN000157991	PAFAH1B3	0005390162;ILMN_1748093;ILMN_1762654	
GN000163799	FSIP1	0003060050;ILMN_1716925	
GN000005202	HOXD13	0004760114;ILMN_1706901	
GN000003525	IL36RN	0006180079;0006900072;ILMN_1804901;ILMN_1773284;ILMN_1665346;ILMN_1759141	
GN000161808	EPS8L3	0004230047;0104780609;ILMN_1673261	
GN000087673	MAGEB6	0004150435;ILMN_1685572;ILMN_2060449	
GN000156187	CXCL2	ILMN_1682636	
GN000898207	LINC00273	ILMN_2211910;ILMN_3298348;ILMN_1652170	
GN000158349	VARS	ILMN_1755507;ILMN_1664299;ILMN_1772055;ILMN_1702130	
GN000003667	PFN1	0005420601;ILMN_1763012;ILMN_2151817	
GN000162820	ARMC6	0001990593;ILMN_1697118	
GN000085573	PARP15	0004760300;0106400400;ILMN_1776778	
GN000159524	GPATCH4	0005690487;ILMN_2383305;ILMN_2281069;ILMN_1694837;ILMN_1655230;ILMN_2383306	
GN000010421	POLD3	0002970500;ILMN_2233552;ILMN_1751773	
GN000003486	TACR1	0006650722;0003710671;ILMN_1747883;ILMN_1680330	
GN000000683	DNAJB9	0002510541;ILMN_1773742	
GN000162804	LINC00852	0002650072;ILMN_2124236;ILMN_1723254	
GN000162217	COG3	0002570358;ILMN_1776154;ILMN_2129715;ILMN_1745969	
GN000159533	TANC2	0102570397;0001850164;ILMN_1873092;ILMN_3244286	
GN000005665	ZNF85	0005360368;ILMN_1747824	
GN000092339	ZNF568	0001740053;0005270180;ILMN_1718259;ILMN_1672065;ILMN_1681490;ILMN_2229610	
GN000161903	TLE6	0004850164;ILMN_1661299	
GN000005437	PREP	0002030242;ILMN_1751887	
GN000050497	PAH	0000630162;ILMN_1662214;ILMN_2218104;ILMN_1824490	
GN000002424	SAA1	0006290441;ILMN_1701017;ILMN_1808732;ILMN_2304512	
GN000010179	SIM1	0002470692;ILMN_1696279;ILMN_2073279	
GN000003287	HCST	0004850433;ILMN_2396991;ILMN_1699931	
GN000080113	SMYD4	0000060148;ILMN_2086238	
GN000001344	SLC17A2	0002510398;ILMN_1773586	
GN000003373	F2R	0006660112;ILMN_2221507;ILMN_1742866	
GN000898196	CCDC168	0006220538;ILMN_1799985	
GN000049322	ATP1A4	0003130114;ILMN_1705208;ILMN_1696132	
GN000090522	TMPRSS11B	0003360692;ILMN_1748675	
GN000000357	SHH	0002970504;ILMN_1652693	
GN000618547	ZNF316	ILMN_3275026;ILMN_3211199;ILMN_1692361	
GN000298342	SNORA53	0000580347;ILMN_2332713;ILMN_3239932	
GN000085306	SPATA32	0006620427;ILMN_1670707	
GN000005895	MTA1	0004120204;ILMN_1671911	
GN000063427	DAZ2	0005360398;ILMN_1658123;ILMN_1656021;ILMN_3250196;ILMN_1754528	
GN000083275	ZNF519	0002480609;ILMN_1786665;ILMN_1734734;ILMN_1724054	
GN000043954	KDM4B	0005080113;0001690059;ILMN_1720531	
GN000090092	ZNF831	0004760563;ILMN_2093775;ILMN_1658016	
GN000085962	PI16	0004210497;ILMN_1766264	
GN000199240	PRAMEF17	ILMN_1662119;ILMN_1738110;ILMN_2222337;ILMN_1733925	
GN000162293	STARD3NL	0006840408;ILMN_2228873;ILMN_1751214	
GN000162125	SGPP1	0005700484;ILMN_1679837;ILMN_1738280	
GN000078956	UNC119B	0104120671;0000630164;ILMN_1660935;ILMN_3245351;ILMN_1708869	
GN000162372	HSDL2	0002650452;ILMN_1787843	
GN000085320	ZNF491	0000940168;ILMN_2222695	
GN000006968	DET1	0000430215;ILMN_2145423;ILMN_1661653	
GN000156507	COLGALT2	0000580717;ILMN_1736742	
GN000162275	REPS1	0101940075;ILMN_1688326;ILMN_2222768	
GN000117013	C4orf46	0103710292;0006620138;ILMN_3249240;ILMN_1792712	
GN000160292	SLC30A10	0003190022;ILMN_1783672	
GN000158269	STX5	0005910403;ILMN_1808860;ILMN_1749345	
GN000000384	ZBTB7A	0004920465;0000060315;0102650286;ILMN_1656118;ILMN_3200042	
GN000089082	KIF18B	0000460390;ILMN_2250048	
GN000162429	FAM120B	0006590193;ILMN_1679641	
GN000007155	TNFRSF10D	0005220093;ILMN_1666022	
GN000002308	TMEM53	0001660309;ILMN_1688041	
GN000297251	AREG	0002570372;ILMN_3236613	
GN000058210	KIAA1107	0001230746;ILMN_1793435	
GN000050563	SDHD	0001190364;ILMN_1698487	
GN000094431	CCDC137	0105390408;0003800504;0101850112;ILMN_1743506	
GN000228857	FAM185A	0000450364;ILMN_1699449;ILMN_3241118;ILMN_3244240	
GN000165060	KCP	0003130088;0106550332;ILMN_1747850	
GN000162520	ZNF577	0001050040;ILMN_2212823;ILMN_1667322;ILMN_1886125	
GN000089072	SERPINA9	0002810041;ILMN_1697649;ILMN_2377385	
GN000010403	SLC8A1	0101780300;0000460332;ILMN_1816603;ILMN_1699520	
GN000001977	SLC38A4	0005900292;ILMN_1794890	
GN000163726	NUDT16	0004150601;ILMN_1781996	
GN001033761	MIR6812	0006940279;ILMN_1738759	
GN000002064	METTL2B	0005860450;ILMN_1735958	
GN000158930	LANCL2	0001240520;ILMN_1708009	
GN000228875	RNF5P1	ILMN_2052863;ILMN_1759948	
GN000125045	CFAP157	0006590044;ILMN_1686841	
GN000616073	SSC5D	0005860706;0107050278;0005290692;0106450193;0003140193;ILMN_1763891;ILMN_1820437;ILMN_3290428	
GN000163768	CFAP57	0000840685;ILMN_1717064	
GN000157388	ATP5G1	0000730333;ILMN_1712430	
GN000001532	MON1B	0006770338;ILMN_1771651	
GN000057431	APOBEC2	0005900041;ILMN_1719143	
GN000158358	WNT7B	0003780050;ILMN_2153495;ILMN_1738694	
GN000160794	CIDEC	ILMN_1779597;ILMN_2174437	
